
___________________________________________________________________

GenoDive 3.01, 2021-11-24 11:02:23 +0000
Amova: Analysis of Molecular Variance (Excoffier et al., 1995)
File: TrkNbr-1524n1282n1083_AllPops_PGDSpider_p14_r080_LDnHWEx__genepopRF.txt
178 of 178 individuals included, 8480 of 8480 loci included
Used an Infinite Allele Model, so the reported statistics are equivalent to Fst
Significance was tested using 999 permutations


– AMOVA summary:

Source of Variation	Nested in	%var	F-stat	F-value	Std.Dev.	c.i.2.5%	c.i.97.5%	P-value	F'-value
Within Individual 	--	0.782	F_it	0.218	0.003	0.211	0.225	--	--
Among Individual 	Population 	0.063	F_is	0.074	0.004	0.065	0.083	0.001	--
Among Population 	--	0.155	F_st	0.155	0.002	0.151	0.159	0.001	0.159

Standard deviations of F-statistics were obtained through jackknifing over loci.
95% confidence intervals of F-statistics were obtained through bootstrapping over loci.


– AMOVA table per locus:

Locus	Source of Variation	Nested in	SSD	d.f.	MS	Var-comp	%Var	F-stat	F-value	P-value	F(max)	F'-value
	Among Population   	--	0.942	14	0.067	0.003	0.192	F_st	0.192	0.001	0.977	0.196

459404_27	Within Individual   	--	3.000	125	0.024	0.024	0.600	F_it	0.400	--	--	--
	Among Individual   	Population 	1.444	111	0.013	-0.005	-0.137	F_is	-0.297	0.943	--	--
	Among Population   	--	5.156	13	0.397	0.021	0.537	F_st	0.537	0.001	0.963	0.558

459455_23	Within Individual   	--	0.500	149	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	133	0.003	0.000	0.004	F_is	0.004	1.000	--	--
	Among Population   	--	0.047	15	0.003	-0.000	-0.004	F_st	-0.004	1.000	0.993	-0.004

459464_13	Within Individual   	--	0.000	130	0.000	0.000	0.000	F_it	1.000	--	--	--
	Among Individual   	Population 	1.800	116	0.016	0.008	1.009	F_is	1.000	0.058	--	--
	Among Population   	--	0.185	13	0.014	-0.000	-0.009	F_st	-0.009	1.000	0.984	-0.009

459468_20	Within Individual   	--	1.000	146	0.007	0.007	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.750	130	0.006	-0.001	-0.079	F_is	-0.086	1.000	--	--
	Among Population   	--	0.236	15	0.016	0.001	0.080	F_st	0.080	0.016	0.987	0.081

459522_9	Within Individual   	--	2.000	144	0.014	0.014	0.673	F_it	0.327	--	--	--
	Among Individual   	Population 	2.889	128	0.023	0.004	0.210	F_is	0.238	0.383	--	--
	Among Population   	--	0.986	15	0.066	0.002	0.116	F_st	0.116	0.003	0.964	0.121

459598_70	Within Individual   	--	0.500	138	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	123	0.004	-0.000	-0.009	F_is	-0.009	1.000	--	--
	Among Population   	--	0.059	14	0.004	0.000	0.010	F_st	0.010	0.183	0.993	0.010

459622_32	Within Individual   	--	0.500	134	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	120	0.004	-0.000	-0.004	F_is	-0.004	1.000	--	--
	Among Population   	--	0.052	13	0.004	0.000	0.004	F_st	0.004	0.346	0.993	0.004

459691_50	Within Individual   	--	1.000	137	0.007	0.007	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.750	122	0.006	-0.001	-0.079	F_is	-0.086	1.000	--	--
	Among Population   	--	0.235	14	0.017	0.001	0.080	F_st	0.080	0.010	0.987	0.081

459730_52	Within Individual   	--	2.000	127	0.016	0.016	0.676	F_it	0.324	--	--	--
	Among Individual   	Population 	3.050	113	0.027	0.006	0.241	F_is	0.263	0.294	--	--
	Among Population   	--	0.808	13	0.062	0.002	0.083	F_st	0.083	0.008	0.957	0.087

459751_30	Within Individual   	--	1.000	138	0.007	0.007	1.004	F_it	-0.004	--	--	--
	Among Individual   	Population 	0.900	123	0.007	0.000	0.005	F_is	0.005	1.000	--	--
	Among Population   	--	0.086	14	0.006	-0.000	-0.009	F_st	-0.009	1.000	0.985	-0.009

459830_61	Within Individual   	--	0.500	161	0.003	0.003	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	144	0.003	-0.000	-0.011	F_is	-0.011	1.000	--	--
	Among Population   	--	0.059	16	0.004	0.000	0.011	F_st	0.011	0.095	0.994	0.012

459873_35	Within Individual   	--	1.500	156	0.010	0.010	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	1.000	140	0.007	-0.001	-0.128	F_is	-0.148	1.000	--	--
	Among Population   	--	0.471	15	0.031	0.001	0.129	F_st	0.129	0.001	0.983	0.132

459874_23	Within Individual   	--	0.500	149	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	133	0.003	0.000	0.004	F_is	0.004	1.000	--	--
	Among Population   	--	0.047	15	0.003	-0.000	-0.004	F_st	-0.004	1.000	0.993	-0.004

459895_8	Within Individual   	--	0.500	152	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.438	135	0.003	-0.000	-0.007	F_is	-0.007	1.000	--	--
	Among Population   	--	0.059	16	0.004	0.000	0.008	F_st	0.008	0.388	0.993	0.008

459906_68	Within Individual   	--	0.500	128	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	114	0.004	-0.000	-0.009	F_is	-0.009	1.000	--	--
	Among Population   	--	0.059	13	0.005	0.000	0.009	F_st	0.009	0.197	0.992	0.009

459926_10	Within Individual   	--	0.500	141	0.004	0.004	0.334	F_it	0.666	--	--	--
	Among Individual   	Population 	2.050	126	0.016	0.006	0.598	F_is	0.642	0.149	--	--
	Among Population   	--	0.418	14	0.030	0.001	0.068	F_st	0.068	0.050	0.980	0.069

459980_57	Within Individual   	--	1.500	123	0.012	0.012	1.004	F_it	-0.004	--	--	--
	Among Individual   	Population 	1.152	109	0.011	-0.001	-0.067	F_is	-0.072	1.000	--	--
	Among Population   	--	0.312	13	0.024	0.001	0.063	F_st	0.063	0.009	0.977	0.064

460054_16	Within Individual   	--	9.500	137	0.069	0.069	0.969	F_it	0.031	--	--	--
	Among Individual   	Population 	6.771	122	0.055	-0.007	-0.097	F_is	-0.111	0.919	--	--
	Among Population   	--	3.120	14	0.223	0.009	0.128	F_st	0.128	0.001	0.875	0.146

460061_30	Within Individual   	--	1.000	156	0.006	0.006	0.497	F_it	0.503	--	--	--
	Among Individual   	Population 	1.857	140	0.013	0.003	0.266	F_is	0.348	0.465	--	--
	Among Population   	--	1.092	15	0.073	0.003	0.237	F_st	0.237	0.001	0.980	0.242

460070_13	Within Individual   	--	0.500	161	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	144	0.003	-0.000	-0.003	F_is	-0.003	1.000	--	--
	Among Population   	--	0.052	16	0.003	0.000	0.003	F_st	0.003	0.260	0.994	0.003

460071_16	Within Individual   	--	0.500	133	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	118	0.004	0.000	0.007	F_is	0.007	1.000	--	--
	Among Population   	--	0.046	14	0.003	-0.000	-0.008	F_st	-0.008	1.000	0.992	-0.008

460078_59	Within Individual   	--	1.000	148	0.007	0.007	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	0.800	132	0.006	-0.000	-0.052	F_is	-0.054	1.000	--	--
	Among Population   	--	0.186	15	0.012	0.000	0.051	F_st	0.051	0.052	0.987	0.052

460092_35	Within Individual   	--	0.500	164	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	147	0.003	-0.000	-0.004	F_is	-0.004	1.000	--	--
	Among Population   	--	0.053	16	0.003	0.000	0.004	F_st	0.004	0.253	0.994	0.004

460104_20	Within Individual   	--	0.500	143	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	128	0.003	-0.000	-0.003	F_is	-0.003	1.000	--	--
	Among Population   	--	0.052	14	0.004	0.000	0.004	F_st	0.004	0.251	0.993	0.004

460158_53	Within Individual   	--	1.500	129	0.012	0.012	1.006	F_it	-0.006	--	--	--
	Among Individual   	Population 	1.228	115	0.011	-0.000	-0.041	F_is	-0.043	1.000	--	--
	Among Population   	--	0.237	13	0.018	0.000	0.036	F_st	0.036	0.098	0.978	0.036

460159_16	Within Individual   	--	2.500	149	0.017	0.017	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	1.250	133	0.009	-0.004	-0.220	F_is	-0.282	1.000	--	--
	Among Population   	--	1.166	15	0.078	0.004	0.219	F_st	0.219	0.001	0.974	0.225

460167_19	Within Individual   	--	3.000	163	0.018	0.018	0.607	F_it	0.393	--	--	--
	Among Individual   	Population 	3.600	146	0.025	0.003	0.103	F_is	0.145	0.497	--	--
	Among Population   	--	3.093	16	0.193	0.009	0.290	F_st	0.290	0.001	0.957	0.303

460169_16	Within Individual   	--	1.000	125	0.008	0.008	1.004	F_it	-0.004	--	--	--
	Among Individual   	Population 	0.888	111	0.008	-0.000	-0.000	F_is	-0.000	1.000	--	--
	Among Population   	--	0.097	13	0.007	-0.000	-0.004	F_st	-0.004	0.597	0.984	-0.004

460203_53	Within Individual   	--	1.500	125	0.012	0.012	1.005	F_it	-0.005	--	--	--
	Among Individual   	Population 	1.188	111	0.011	-0.001	-0.055	F_is	-0.057	1.000	--	--
	Among Population   	--	0.277	13	0.021	0.001	0.050	F_st	0.050	0.020	0.977	0.051

460205_12	Within Individual   	--	1.000	159	0.006	0.006	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.800	142	0.006	-0.000	-0.052	F_is	-0.055	1.000	--	--
	Among Population   	--	0.187	16	0.012	0.000	0.052	F_st	0.052	0.057	0.988	0.052

460207_5	Within Individual   	--	3.000	141	0.021	0.021	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	1.200	126	0.010	-0.006	-0.277	F_is	-0.382	1.000	--	--
	Among Population   	--	1.672	14	0.119	0.006	0.275	F_st	0.275	0.001	0.969	0.284

460252_63	Within Individual   	--	3.000	137	0.022	0.022	0.761	F_it	0.239	--	--	--
	Among Individual   	Population 	3.087	122	0.025	0.002	0.059	F_is	0.072	0.654	--	--
	Among Population   	--	1.679	14	0.120	0.005	0.180	F_st	0.180	0.002	0.953	0.189

460261_37	Within Individual   	--	1.000	139	0.007	0.007	0.501	F_it	0.499	--	--	--
	Among Individual   	Population 	2.200	124	0.018	0.005	0.367	F_is	0.423	0.314	--	--
	Among Population   	--	0.742	14	0.053	0.002	0.133	F_st	0.133	0.002	0.975	0.136

460313_46	Within Individual   	--	0.000	158	0.000	0.000	0.000	F_it	1.000	--	--	--
	Among Individual   	Population 	1.778	141	0.013	0.006	0.996	F_is	1.000	0.059	--	--
	Among Population   	--	0.210	16	0.013	0.000	0.004	F_st	0.004	0.499	0.987	0.004

460339_47	Within Individual   	--	0.500	144	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.438	128	0.003	-0.000	-0.008	F_is	-0.008	1.000	--	--
	Among Population   	--	0.059	15	0.004	0.000	0.008	F_st	0.008	0.252	0.993	0.008

460343_10	Within Individual   	--	7.000	140	0.050	0.050	0.821	F_it	0.179	--	--	--
	Among Individual   	Population 	6.922	125	0.055	0.003	0.044	F_is	0.051	0.504	--	--
	Among Population   	--	2.921	14	0.209	0.008	0.135	F_st	0.135	0.001	0.895	0.151

460372_15	Within Individual   	--	2.500	140	0.018	0.018	1.006	F_it	-0.006	--	--	--
	Among Individual   	Population 	1.561	125	0.012	-0.003	-0.151	F_is	-0.177	1.000	--	--
	Among Population   	--	0.850	14	0.061	0.003	0.146	F_st	0.146	0.001	0.970	0.150

460415_6	Within Individual   	--	1.500	144	0.010	0.010	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	1.000	129	0.008	-0.001	-0.128	F_is	-0.147	1.000	--	--
	Among Population   	--	0.469	14	0.033	0.001	0.129	F_st	0.129	0.002	0.982	0.131

460423_16	Within Individual   	--	1.500	134	0.011	0.011	0.600	F_it	0.400	--	--	--
	Among Individual   	Population 	2.111	119	0.018	0.003	0.175	F_is	0.226	0.545	--	--
	Among Population   	--	1.296	14	0.093	0.004	0.225	F_st	0.225	0.001	0.971	0.231

460432_53	Within Individual   	--	1.000	138	0.007	0.007	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.750	123	0.006	-0.001	-0.079	F_is	-0.086	1.000	--	--
	Among Population   	--	0.236	14	0.017	0.001	0.080	F_st	0.080	0.006	0.987	0.081

460438_13	Within Individual   	--	0.500	140	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	125	0.004	-0.000	-0.002	F_is	-0.002	1.000	--	--
	Among Population   	--	0.052	14	0.004	0.000	0.002	F_st	0.002	0.487	0.993	0.002

460478_27	Within Individual   	--	0.500	161	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	144	0.003	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.047	16	0.003	-0.000	-0.003	F_st	-0.003	1.000	0.994	-0.003

460481_37	Within Individual   	--	4.500	146	0.031	0.031	0.838	F_it	0.162	--	--	--
	Among Individual   	Population 	3.732	130	0.029	-0.001	-0.029	F_is	-0.036	0.814	--	--
	Among Population   	--	2.354	15	0.157	0.007	0.191	F_st	0.191	0.001	0.940	0.203

460485_27	Within Individual   	--	9.000	151	0.060	0.060	0.805	F_it	0.195	--	--	--
	Among Individual   	Population 	9.011	135	0.067	0.004	0.048	F_is	0.057	0.452	--	--
	Among Population   	--	4.082	15	0.272	0.011	0.147	F_st	0.147	0.001	0.874	0.168

460562_17	Within Individual   	--	2.500	145	0.017	0.017	1.009	F_it	-0.009	--	--	--
	Among Individual   	Population 	1.778	129	0.014	-0.002	-0.101	F_is	-0.112	1.000	--	--
	Among Population   	--	0.636	15	0.042	0.002	0.092	F_st	0.092	0.002	0.969	0.095

460575_27	Within Individual   	--	1.000	153	0.007	0.007	1.003	F_it	-0.003	--	--	--
	Among Individual   	Population 	0.882	137	0.006	-0.000	-0.008	F_is	-0.008	1.000	--	--
	Among Population   	--	0.105	15	0.007	0.000	0.005	F_st	0.005	0.093	0.987	0.005

460681_7	Within Individual   	--	0.500	146	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	130	0.003	0.000	0.005	F_is	0.005	1.000	--	--
	Among Population   	--	0.047	15	0.003	-0.000	-0.006	F_st	-0.006	1.000	0.993	-0.006

460700_74	Within Individual   	--	2.500	133	0.019	0.019	1.002	F_it	-0.002	--	--	--
	Among Individual   	Population 	1.250	118	0.011	-0.004	-0.219	F_is	-0.279	1.000	--	--
	Among Population   	--	1.156	14	0.083	0.004	0.217	F_st	0.217	0.001	0.971	0.223

460746_34	Within Individual   	--	0.500	123	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.444	109	0.004	0.000	0.002	F_is	0.002	1.000	--	--
	Among Population   	--	0.051	13	0.004	-0.000	-0.002	F_st	-0.002	0.750	0.992	-0.002

460778_50	Within Individual   	--	0.500	129	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	115	0.004	-0.000	-0.001	F_is	-0.001	1.000	--	--
	Among Population   	--	0.052	13	0.004	0.000	0.002	F_st	0.002	0.525	0.992	0.002

460838_13	Within Individual   	--	0.500	123	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.444	109	0.004	0.000	0.002	F_is	0.002	1.000	--	--
	Among Population   	--	0.051	13	0.004	-0.000	-0.002	F_st	-0.002	0.763	0.992	-0.002

460864_10	Within Individual   	--	3.000	128	0.023	0.023	0.762	F_it	0.238	--	--	--
	Among Individual   	Population 	3.125	114	0.027	0.002	0.065	F_is	0.078	0.619	--	--
	Among Population   	--	1.625	13	0.125	0.005	0.174	F_st	0.174	0.001	0.949	0.183

460878_20	Within Individual   	--	4.000	137	0.029	0.029	0.817	F_it	0.183	--	--	--
	Among Individual   	Population 	3.387	122	0.028	-0.001	-0.020	F_is	-0.025	0.751	--	--
	Among Population   	--	2.248	14	0.161	0.007	0.203	F_st	0.203	0.001	0.943	0.216

460886_59	Within Individual   	--	4.000	163	0.025	0.025	0.683	F_it	0.317	--	--	--
	Among Individual   	Population 	5.139	146	0.035	0.005	0.148	F_is	0.178	0.325	--	--
	Among Population   	--	2.419	16	0.151	0.006	0.168	F_st	0.168	0.001	0.940	0.179

460938_53	Within Individual   	--	0.500	126	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.444	112	0.004	0.000	0.000	F_is	0.000	1.000	--	--
	Among Population   	--	0.052	13	0.004	-0.000	-0.000	F_st	-0.000	0.669	0.992	-0.000

460973_40	Within Individual   	--	4.000	139	0.029	0.029	0.814	F_it	0.186	--	--	--
	Among Individual   	Population 	3.050	124	0.025	-0.002	-0.059	F_is	-0.078	0.823	--	--
	Among Population   	--	2.590	14	0.185	0.009	0.245	F_st	0.245	0.001	0.947	0.259

460974_9	Within Individual   	--	1.500	166	0.009	0.009	0.604	F_it	0.396	--	--	--
	Among Individual   	Population 	2.778	149	0.019	0.005	0.321	F_is	0.347	0.238	--	--
	Among Population   	--	0.647	16	0.040	0.001	0.075	F_st	0.075	0.012	0.972	0.077

460996_9	Within Individual   	--	0.500	147	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	131	0.003	-0.000	-0.001	F_is	-0.001	1.000	--	--
	Among Population   	--	0.052	15	0.003	0.000	0.001	F_st	0.001	0.576	0.993	0.001

461051_18	Within Individual   	--	0.500	132	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	117	0.004	0.000	0.008	F_is	0.008	1.000	--	--
	Among Population   	--	0.046	14	0.003	-0.000	-0.008	F_st	-0.008	1.000	0.992	-0.008

461075_42	Within Individual   	--	4.000	149	0.027	0.027	0.813	F_it	0.187	--	--	--
	Among Individual   	Population 	3.049	133	0.023	-0.002	-0.059	F_is	-0.079	0.820	--	--
	Among Population   	--	2.616	15	0.174	0.008	0.246	F_st	0.246	0.001	0.950	0.259

461107_5	Within Individual   	--	0.500	152	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.438	135	0.003	-0.000	-0.007	F_is	-0.007	1.000	--	--
	Among Population   	--	0.059	16	0.004	0.000	0.008	F_st	0.008	0.353	0.993	0.008

461140_48	Within Individual   	--	0.500	125	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	111	0.004	-0.000	-0.007	F_is	-0.007	1.000	--	--
	Among Population   	--	0.059	13	0.005	0.000	0.008	F_st	0.008	0.332	0.992	0.008

461181_18	Within Individual   	--	2.500	134	0.019	0.019	0.721	F_it	0.279	--	--	--
	Among Individual   	Population 	2.688	119	0.023	0.002	0.076	F_is	0.095	0.598	--	--
	Among Population   	--	1.630	14	0.116	0.005	0.203	F_st	0.203	0.001	0.959	0.212

461222_25	Within Individual   	--	0.500	154	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	138	0.003	0.000	0.002	F_is	0.002	1.000	--	--
	Among Population   	--	0.047	15	0.003	-0.000	-0.002	F_st	-0.002	1.000	0.993	-0.002

461248_9	Within Individual   	--	1.000	130	0.008	0.008	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	0.800	116	0.007	-0.000	-0.052	F_is	-0.055	1.000	--	--
	Among Population   	--	0.185	13	0.014	0.000	0.051	F_st	0.051	0.059	0.985	0.052

461326_42	Within Individual   	--	0.500	131	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.444	116	0.004	0.000	0.002	F_is	0.002	1.000	--	--
	Among Population   	--	0.052	14	0.004	-0.000	-0.002	F_st	-0.002	0.765	0.992	-0.002

461337_11	Within Individual   	--	4.000	151	0.026	0.026	1.020	F_it	-0.020	--	--	--
	Among Individual   	Population 	2.932	135	0.022	-0.002	-0.092	F_is	-0.099	1.000	--	--
	Among Population   	--	0.856	15	0.057	0.002	0.072	F_st	0.072	0.004	0.952	0.076

461360_11	Within Individual   	--	1.500	146	0.010	0.010	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	1.050	130	0.008	-0.001	-0.107	F_is	-0.120	1.000	--	--
	Among Population   	--	0.419	15	0.028	0.001	0.106	F_st	0.106	0.003	0.982	0.108

461366_47	Within Individual   	--	0.500	129	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	115	0.004	-0.000	-0.001	F_is	-0.001	1.000	--	--
	Among Population   	--	0.052	13	0.004	0.000	0.002	F_st	0.002	0.422	0.992	0.002

461433_56	Within Individual   	--	0.500	137	0.004	0.004	0.333	F_it	0.667	--	--	--
	Among Individual   	Population 	1.938	122	0.016	0.006	0.558	F_is	0.626	0.211	--	--
	Among Population   	--	0.530	14	0.038	0.001	0.110	F_st	0.110	0.010	0.980	0.112

461468_31	Within Individual   	--	1.000	135	0.007	0.007	0.500	F_it	0.500	--	--	--
	Among Individual   	Population 	2.111	120	0.018	0.005	0.344	F_is	0.407	0.348	--	--
	Among Population   	--	0.830	14	0.059	0.002	0.156	F_st	0.156	0.001	0.975	0.160

461494_29	Within Individual   	--	1.000	129	0.008	0.008	1.004	F_it	-0.004	--	--	--
	Among Individual   	Population 	0.894	115	0.008	0.000	0.002	F_is	0.002	1.000	--	--
	Among Population   	--	0.090	13	0.007	-0.000	-0.006	F_st	-0.006	0.880	0.984	-0.006

461505_7	Within Individual   	--	0.500	162	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	145	0.003	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.047	16	0.003	-0.000	-0.003	F_st	-0.003	1.000	0.994	-0.003

461514_25	Within Individual   	--	1.500	129	0.012	0.012	1.006	F_it	-0.006	--	--	--
	Among Individual   	Population 	1.250	115	0.011	-0.000	-0.033	F_is	-0.034	1.000	--	--
	Among Population   	--	0.215	13	0.017	0.000	0.027	F_st	0.027	0.192	0.978	0.027

461523_14	Within Individual   	--	0.500	129	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.429	115	0.004	-0.000	-0.019	F_is	-0.020	1.000	--	--
	Among Population   	--	0.068	13	0.005	0.000	0.021	F_st	0.021	0.053	0.992	0.021

461528_31	Within Individual   	--	13.000	125	0.104	0.104	1.092	F_it	-0.092	--	--	--
	Among Individual   	Population 	3.532	111	0.032	-0.036	-0.379	F_is	-0.531	1.000	--	--
	Among Population   	--	6.764	13	0.520	0.027	0.287	F_st	0.287	0.001	0.864	0.332

461532_17	Within Individual   	--	7.500	160	0.047	0.047	1.032	F_it	-0.032	--	--	--
	Among Individual   	Population 	2.937	143	0.021	-0.013	-0.290	F_is	-0.391	1.000	--	--
	Among Population   	--	3.859	16	0.241	0.012	0.258	F_st	0.258	0.001	0.933	0.277

461535_19	Within Individual   	--	1.000	137	0.007	0.007	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	0.800	122	0.007	-0.000	-0.051	F_is	-0.054	1.000	--	--
	Among Population   	--	0.185	14	0.013	0.000	0.050	F_st	0.050	0.058	0.986	0.051

461536_10	Within Individual   	--	1.500	163	0.009	0.009	1.005	F_it	-0.005	--	--	--
	Among Individual   	Population 	1.250	146	0.009	-0.000	-0.035	F_is	-0.036	1.000	--	--
	Among Population   	--	0.222	16	0.014	0.000	0.030	F_st	0.030	0.160	0.982	0.031

461579_39	Within Individual   	--	3.500	161	0.022	0.022	1.007	F_it	-0.007	--	--	--
	Among Individual   	Population 	1.650	144	0.011	-0.005	-0.238	F_is	-0.310	1.000	--	--
	Among Population   	--	1.698	16	0.106	0.005	0.231	F_st	0.231	0.001	0.967	0.239

461588_11	Within Individual   	--	1.500	164	0.009	0.009	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	1.000	147	0.007	-0.001	-0.128	F_is	-0.147	1.000	--	--
	Among Population   	--	0.473	16	0.030	0.001	0.129	F_st	0.129	0.001	0.984	0.131

461609_12	Within Individual   	--	0.500	152	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	136	0.003	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.047	15	0.003	-0.000	-0.003	F_st	-0.003	1.000	0.993	-0.003

461614_40	Within Individual   	--	3.000	161	0.019	0.019	1.008	F_it	-0.008	--	--	--
	Among Individual   	Population 	1.861	144	0.013	-0.003	-0.154	F_is	-0.181	1.000	--	--
	Among Population   	--	1.027	16	0.064	0.003	0.146	F_st	0.146	0.001	0.968	0.151

461706_24	Within Individual   	--	1.000	132	0.008	0.008	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.800	118	0.007	-0.000	-0.053	F_is	-0.055	1.000	--	--
	Among Population   	--	0.185	13	0.014	0.000	0.052	F_st	0.052	0.061	0.986	0.053

461785_13	Within Individual   	--	2.000	136	0.015	0.015	1.005	F_it	-0.005	--	--	--
	Among Individual   	Population 	1.375	121	0.011	-0.002	-0.114	F_is	-0.128	1.000	--	--
	Among Population   	--	0.566	14	0.040	0.002	0.110	F_st	0.110	0.001	0.974	0.113

461801_12	Within Individual   	--	0.500	141	0.004	0.004	0.333	F_it	0.667	--	--	--
	Among Individual   	Population 	1.938	126	0.015	0.006	0.555	F_is	0.625	0.207	--	--
	Among Population   	--	0.531	14	0.038	0.001	0.112	F_st	0.112	0.008	0.981	0.115

461876_28	Within Individual   	--	2.500	146	0.017	0.017	0.560	F_it	0.440	--	--	--
	Among Individual   	Population 	3.237	130	0.025	0.004	0.127	F_is	0.185	0.443	--	--
	Among Population   	--	2.985	15	0.199	0.010	0.312	F_st	0.312	0.001	0.958	0.326

461907_54	Within Individual   	--	0.500	151	0.003	0.003	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	135	0.003	-0.000	-0.011	F_is	-0.011	1.000	--	--
	Among Population   	--	0.059	15	0.004	0.000	0.011	F_st	0.011	0.176	0.993	0.011

461913_26	Within Individual   	--	2.500	143	0.017	0.017	0.728	F_it	0.272	--	--	--
	Among Individual   	Population 	3.732	127	0.029	0.006	0.248	F_is	0.254	0.221	--	--
	Among Population   	--	0.597	15	0.040	0.001	0.024	F_st	0.024	0.164	0.953	0.025

461985_17	Within Individual   	--	0.500	149	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	133	0.003	-0.000	-0.002	F_is	-0.002	1.000	--	--
	Among Population   	--	0.052	15	0.003	0.000	0.002	F_st	0.002	0.446	0.993	0.002

461986_45	Within Individual   	--	2.000	141	0.014	0.014	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	1.200	126	0.010	-0.002	-0.164	F_is	-0.197	1.000	--	--
	Among Population   	--	0.743	14	0.053	0.002	0.164	F_st	0.164	0.001	0.976	0.168

461989_39	Within Individual   	--	1.000	135	0.007	0.007	0.503	F_it	0.497	--	--	--
	Among Individual   	Population 	2.444	120	0.020	0.006	0.440	F_is	0.467	0.173	--	--
	Among Population   	--	0.496	14	0.035	0.001	0.057	F_st	0.057	0.048	0.972	0.059

461991_14	Within Individual   	--	1.000	135	0.007	0.007	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	0.800	120	0.007	-0.000	-0.050	F_is	-0.053	1.000	--	--
	Among Population   	--	0.185	14	0.013	0.000	0.049	F_st	0.049	0.069	0.986	0.050

462091_77	Within Individual   	--	0.500	137	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	122	0.004	-0.000	-0.009	F_is	-0.009	1.000	--	--
	Among Population   	--	0.059	14	0.004	0.000	0.009	F_st	0.009	0.182	0.993	0.009

